chapter 1,"bharatiyaa itihasa pitike, bharatha varsha mattu adharagalu"
6th Kan SS Part-1,15 - 19
8th Kan SS Part-1,21 -23
8th Kan SS Part-1,15-19
chapter 2,"arambika samaja , alaya shila yuga , madya shila yuga, nava shilayuga,chalcolithic mattu kabbinada yuga"
6th Kan SS Part-1 - m1,20-25
8th Kan SS Part-1 -m1,24-27
chapter 3,sindu bayalina nagarikathe
8th Kan SS Part-1,28-34
chapter 4,veda samskruthi
6th Kan SS Part-1 -m2,85-87
8th Kan SS Part-1 -m2,34-34
chapter 5,dharmika sudharana chaluvali
6th Kan SS Part-1 -m3,89-93
8th Kan SS Part-1 -m3,53-58
chapter 6,mahajanapadagalu amttu ganarajyagalu
6th Kan SS Part-1 ,93-93
chapter 7,"maouyrayaru mattu kushanaru, shatavahanaru,pallavaru ,guptaru,vardanaru mattu cholaru"
8th Kan SS Part-2,3 - 7
6th Kan SS Part-1 -m4,95-101
8th Kan SS Part-2 -m4,14-15
6th Kan SS Part-1 - m5,108 -108
8th Kan SS Part-2 -m5,24-26
8th Kan SS Part-2,8-13
8th Kan SS Part-2 -m6,35-37
6th Kan SS Part-1 -m6,119-124
